# simulation output - distances to center of mass 
#   time{d} 	 	  r_com_Epim{m} 	  r_com_Janus{m} 	  r_com_Saturn{m}  
   0.000000  	  +151422000.380858749151  	  +151471999.619141250849  	  +0.380858753580  
   1.002083  	  +151422000.718925595284  	  +151471998.694551408291  	  +0.380860786182  
   2.002083  	  +151422000.333756148815  	  +151471999.480283826590  	  +0.380866880688  
   3.002083  	  +151422000.447109550238  	  +151471998.968742311001  	  +0.380877025227  
   4.002083  	  +151422000.218169093132  	  +151471999.181652992964  	  +0.380891227026  
   5.002083  	  +151421999.980329334736  	  +151471999.394253104925  	  +0.380909482768  
   6.002083  	  +151421999.957808345556  	  +151471998.922787427902  	  +0.380931788712  
   7.002083  	  +151421999.402532905340  	  +151471999.754289597273  	  +0.380958151694  
   8.002083  	  +151421999.473871260881  	  +151471998.904269725084  	  +0.380988558730  
   9.002083  	  +151421998.775660008192  	  +151471999.895310372114  	  +0.381023022044  
   10.002083  	  +151421998.730773985386  	  +151471999.208903700113  	  +0.381061526469  
   11.002083  	  +151421998.103786468506  	  +151471999.817931234837  	  +0.381104081368  
   12.002083  	  +151421997.756794452667  	  +151471999.752695649862  	  +0.381150677540  
   13.002083  	  +151421997.330804586411  	  +151471999.676532387733  	  +0.381201314722  
   14.002083  	  +151421996.627720206976  	  +151472000.334549456835  	  +0.381255994002  
   15.002083  	  +151421996.372966021299  	  +151471999.687869310379  	  +0.381314704294  
   16.002083  	  +151421995.423007279634  	  +151472000.755318254232  	  +0.381377454863  
   17.002083  	  +151421995.167448908091  	  +151472000.002745240927  	  +0.381444228896  
   18.002083  	  +151421994.179797381163  	  +151472000.935651123524  	  +0.381515036558  
   19.002083  	  +151421993.708819746971  	  +151472000.616715162992  	  +0.381589863635  
   20.002083  	  +151421992.871466815472  	  +151472000.962967514992  	  +0.381668713133  
   21.002083  	  +151421992.052247852087  	  +151472001.372701525688  	  +0.381751579969  
   22.002083  	  +151421991.423130214214  	  +151472001.039669215679  	  +0.381838456014  
   23.002083  	  +151421990.281623810530  	  +151472002.053966432810  	  +0.381929346125  
   24.002083  	  +151421989.755102664232  	  +151472001.363319307566  	  +0.382024233537  
   25.002083  	  +151421988.461051195860  	  +151472002.512370854616  	  +0.382123127634  
   26.002083  	  +151421987.829156786203  	  +151472002.009654432535  	  +0.382226010504  
   27.002083  	  +151421986.597798436880  	  +151472002.756048917770  	  +0.382332887679  
   28.002083  	  +151421985.670765817165  	  +151472002.887723535299  	  +0.382443748064  
   29.002083  	  +151421984.638215512037  	  +151472002.944563686848  	  +0.382558587050  
   30.002083  	  +151421983.354462355375  	  +151472003.793696433306  	  +0.382677404002  
   31.002083  	  +151421982.498895972967  	  +151472003.294421255589  	  +0.382800183757  
   32.002083  	  +151421980.960775494576  	  +151472004.531497061253  	  +0.382926933263  
   33.002083  	  +151421980.115151971579  	  +151472003.950857996941  	  +0.383057632537  
   34.002083  	  +151421978.529707700014  	  +151472005.028828591108  	  +0.383192288432  
   35.002083  	  +151421977.478596568108  	  +151472004.901848465204  	  +0.383330884575  
   36.002083  	  +151421976.037698596716  	  +151472005.379932999611  	  +0.383473419874  
   37.002083  	  +151421974.642154544592  	  +151472005.985166579485  	  +0.383619887623  
   38.002083  	  +151421973.411417663097  	  +151472005.789773434401  	  +0.383770275490  
   39.002083  	  +151421971.689549744129  	  +151472006.984386563301  	  +0.383924586461  
   40.002083  	  +151421970.570400089025  	  +151472006.452642500401  	  +0.384082800229  
   41.002083  	  +151421968.686959564686  	  +151472007.756946235895  	  +0.384244923444  
   42.002083  	  +151421967.473824232817  	  +151472007.437117636204  	  +0.384410935691  
   43.002083  	  +151421965.644850105047  	  +151472008.318497121334  	  +0.384580838823  
   44.002083  	  +151421964.144330173731  	  +151472008.645400792360  	  +0.384754620064  
   45.002083  	  +151421962.512084364891  	  +151472008.833586186171  	  +0.384932270671  
   46.002083  	  +151421960.655088812113  	  +151472009.871171325445  	  +0.385113788461  
   47.002083  	  +151421959.205732345581  	  +151472009.518206715584  	  +0.385299154469  
   48.002083  	  +151421957.087595850229  	  +151472010.921662241220  	  +0.385488373479  
   49.002083  	  +151421955.659310668707  	  +151472010.511864900589  	  +0.385681422637  
   50.002083  	  +151421953.484660029411  	  +151472011.731723308563  	  +0.385878305661  
   51.002083  	  +151421951.861490905285  	  +151472011.794951081276  	  +0.386079004302  
   52.002083  	  +151421949.825820773840  	  +151472012.402313411236  	  +0.386283513604  
   53.002083  	  +151421947.862887293100  	  +151472013.200288981199  	  +0.386491825475  
   54.002083  	  +151421946.039403349161  	  +151472013.140689700842  	  +0.386703923685  
   55.002083  	  +151421943.746938228607  	  +151472014.512028664351  	  +0.386919809552  
   56.002083  	  +151421942.044275701046  	  +151472014.137649685144  	  +0.387139459569  
   57.002083  	  +151421939.581811547279  	  +151472015.593363076448  	  +0.387362877861  
   58.002083  	  +151421937.797077119350  	  +151472015.454516232014  	  +0.387590041849  
   59.002083  	  +151421935.381150722504  	  +151472016.467442780733  	  +0.387820949961  
   60.002083  	  +151421933.317578822374  	  +151472016.986771970987  	  +0.388055588036  
   61.002083  	  +151421931.096413195133  	  +151472017.303608775139  	  +0.388293943525  
   62.002083  	  +151421928.677480727434  	  +151472018.525858342648  	  +0.388536012947  
   63.002083  	  +151421926.645250916481  	  +151472018.317061573267  	  +0.388781773913  
   64.002083  	  +151421923.959141880274  	  +151472019.882549673319  	  +0.389031229283  
   65.002083  	  +151421921.959485143423  	  +151472019.641410022974  	  +0.389284353715  
